kumbki	405	70
valgus	405	66
ust	404	72
algab	404	74
üleval	404	79
seest	403	76
meiega	402	73
verd	402	62
seesama	401	72
pidama	401	82
teatud	401	72
kätega	401	71
rääkisid	401	74
vastanud	400	71
vale	400	83
lõpetas	400	66
kolmas	399	75
ärge	399	74
olnudki	399	73
paika	398	73
naiste	398	74
õigemini	398	67
hulk	397	67
millel	397	78
autoga	396	63
kuju	396	63
gerda	396	2
teisest	396	82
kuulas	396	63
enamik	396	68
viina	395	51
kallale	394	66
avatud	394	72
minnes	394	67
polnudki	393	66
jama	393	57
keel	393	68
möödunud	393	75
tuju	393	68
arst	392	61
mulje	392	74
edaspidi	392	78
silmas	392	72
läheme	392	63
kasvanud	391	76
otsida	391	76
üldiselt	390	64
tunde	390	75
tõmmata	390	76
temalt	390	80
kõrvalt	390	77
nädalat	389	75
vaikides	389	64
parasjagu	389	65
ime	389	76
meelega	388	74
hirmus	388	71
omakorda	387	71
viimased	387	79
vastus	387	73
kutsuda	387	77
lee	386	11
jõudes	385	73
kasu	385	74
viidi	384	60
kel	384	68
isale	384	60
liisi	383	11
lükkas	383	59
nud	383	41
vanamees	383	49
häbi	383	61
jõudsin	383	64
jääma	382	76
peatus	382	66
mure	382	76
pisarad	382	68
hoiab	382	75
riigi	382	55
tõeline	381	74
õnnestus	381	68
pakkuda	381	72
vast	380	60
nägid	379	75
vastupidi	379	74
meeldi	378	67
lause	378	71
mõeldud	378	79
sülle	377	67
astub	377	59
rahule	377	74
sellesse	377	79
esimesed	377	76
tahaksin	377	64
näitab	377	66
lastega	376	64
vabalt	376	74
ilm	376	73
sandra	376	7
emaga	375	60
erilist	375	77
rääkisin	375	63
äsja	375	66
tänaval	375	70
lüüa	374	80
näkku	374	77
asjade	374	79
nägema	374	80
ööd	374	73
is	374	39
südamest	374	69
suhu	374	71
hulka	373	68
teema	373	68
lõpetanud	373	62
suudab	373	69
sügisel	372	58
lõpp	372	75
oodanud	372	70
tookord	372	66
küsinud	372	63
kaugemale	371	74
poolele	371	44
mängis	371	68
väikest	371	76
haiget	370	66
vaikis	370	59
kaupa	370	70
kaunis	370	63
küsin	370	58
pime	369	71
rahulik	369	77
olegi	369	66
teki	368	65
karjus	368	59
armastan	368	58
kirjutanud	367	65
millestki	367	75
liikuma	367	76
käskis	367	57
viimast	366	73
tõmbab	366	55
jälgis	365	57
tõenäoliselt	365	48
kehitas	365	42
nädal	365	69
pidu	364	71
tulles	364	71
andsid	364	79
saabus	362	69
vahest	362	44
soovinud	362	64
liha	362	68
mehel	362	75
taipas	362	49
teineteist	362	68
kolhoosi	362	22
harva	361	75
tarmo	360	8
seitse	360	68
küllalt	360	63
oi	359	64
pikad	359	71
muusika	358	67
eluga	358	70
karin	358	9
vabandust	358	68
nõuab	358	64
jaanus	358	16
toime	358	63
tasapisi	358	67
iganes	358	66
tulev	357	17
põrandale	357	66
sattunud	357	69
klaasi	356	66
usun	356	67
15	356	27
soome	356	46
üksteist	356	69
tunnistas	356	57
pilku	355	72
paistnud	355	68
küljes	354	70
väärt	354	73
seepeale	354	60
püüab	354	52
armeenia	354	9
panid	354	74
jalgu	353	69
näol	353	77
oskab	353	73
põlema	352	74
mõnus	352	67
uurija	352	19
kaotanud	352	72
unes	352	67
suures	351	78
ajama	351	73
igav	350	71
mere	350	63
halba	350	74
kellelgi	350	82
